driver_id,full_name,phone,vehicle_type,vehicle_plate,current_lat,current_lon,current_area,rating,total_trips,joined_at,is_active
b1ff0b65-f973-406c-aaa8-29ba1f75295c,Rizky Nugroho,083676298133,Mobil,B 5058 UT,-6.221438,106.85436,Jakarta Selatan,4.3,29,2023-09-30 14:18:26,1
bade1607-2a9f-4b8e-a60a-0b610a976bd9,Arif Firmansyah,085938865037,Motor,B 9211 YL,-6.133602,106.89998,Jakarta Utara,3.8,58,2021-04-30 06:31:26,1
3b6350fa-2ed0-4845-b585-33d1f9e1b6f5,Ayu Utami,084163013046,Motor,B 2090 JY,-6.162267,106.830812,Jakarta Pusat,3.5,4542,2021-10-30 16:26:14,1
65ab3dba-ea21-41de-b3c6-82c3864c2eef,Ahmad Kusuma,088667236768,Mobil,B 4068 BD,-6.27545,106.809553,Jakarta Selatan,3.8,2858,2023-05-04 06:03:04,1
510243b9-962a-41a3-a103-b7a46663aab4,Reza Wati,089152976532,Mobil,B 1225 AW,-6.136093,106.897328,Jakarta Utara,3.5,871,2023-01-25 21:49:18,1
a3aac882-5964-41c4-ac41-5f265f459332,Kevin Hidayat,084751460853,Motor,B 5213 GZ,-6.137855,106.810686,Jakarta Barat,4.8,3950,2021-09-28 13:17:58,1
1fe378a5-4755-4b54-ac1c-b0a36e21f869,Mega Saputra,086593054797,Motor,B 2860 OU,-6.164058,106.855939,Jakarta Pusat,3.6,4535,2022-04-18 22:31:50,0
ad96a2b6-f5fd-4609-ac30-6b2167c55d51,Budi Kusuma,084217144245,Motor,B 4889 VX,-6.265937,106.867389,Jakarta Selatan,4.6,89,2021-02-21 12:59:35,1
7c0adce9-069c-4c02-8c16-7664d4495097,Putri Firmansyah,083125200956,Mobil,B 1206 AL,-6.185849,106.889659,Jakarta Timur,4.8,1768,2021-11-15 07:02:50,1
e685db49-63a1-4eac-adab-550e2b62da34,Rizky Anggraini,083370514507,Mobil,B 3624 LE,-6.155877,106.826942,Jakarta Pusat,4.5,361,2022-06-29 04:15:00,1
34c233e7-c6bd-4cac-9d41-1ced723bbc5d,Ahmad Pratama,084732229718,Motor,B 3743 MP,-6.171545,106.843366,Jakarta Pusat,4.5,841,2022-06-22 23:50:05,1
e506dfd9-cf28-47e8-b36b-4e265959700b,Aldi Nugroho,087865221804,Motor,B 1115 FK,-6.238918,106.958353,Jakarta Timur,3.6,1556,2022-12-29 10:47:25,0
41f150d4-44c2-4762-8903-afcfc3485a02,Tari Suharto,083132966864,Motor,B 5896 CP,-6.122708,106.843386,Jakarta Utara,4.5,2778,2021-01-25 10:50:48,1
720872af-01e2-4c0d-bf7c-48a7ad307047,Hendra Wati,083520415789,Motor,B 2216 BV,-6.165098,106.853685,Jakarta Pusat,4.0,3674,2022-07-15 19:34:39,1
2de2616e-069a-4ec3-a995-64d5a2798903,Citra Rahayu,088049086001,Mobil,B 9018 OB,-6.156533,106.84509,Jakarta Pusat,3.8,4077,2021-09-12 11:31:37,1
17cfb446-0724-4b18-9dc8-8d489b232444,Nisa Nugroho,089340497194,Motor,B 8364 MI,-6.200786,106.950722,Jakarta Timur,4.5,340,2023-05-19 13:58:17,1
4b163bcb-b711-432b-bbd4-d7c54ba486cf,Indah Setiawan,082076780112,Motor,B 8239 FO,-6.127123,106.891789,Jakarta Utara,4.5,3636,2021-01-13 02:00:13,1
8a30e7d4-4531-4d4b-a989-466b44a9dd2d,Indah Anggraini,089883436356,Motor,B 3137 AL,-6.11806,106.876471,Jakarta Utara,3.7,1301,2021-07-03 00:04:58,1
15de59a1-0f38-44ef-a49a-830ea2c6ea53,Gilang Pratama,087814165325,Motor,B 1647 LA,-6.178616,106.811631,Jakarta Barat,3.8,349,2022-08-19 12:23:12,0
8390337c-fb6e-49d9-ad44-5560e15600f0,Dimas Wijaya,087020420650,Motor,B 8551 BV,-6.151396,106.851902,Jakarta Pusat,4.1,4439,2022-03-01 08:20:00,1
6afbaec6-ca9e-499b-b4d4-15b493762d25,Citra Wati,086136205020,Motor,B 3679 ZZ,-6.223326,106.862989,Jakarta Selatan,3.9,468,2023-05-14 22:47:57,0
8f972be8-6c9e-4ee7-bf6c-a9a1e4228031,Maya Firmansyah,089720770967,Motor,B 9886 VQ,-6.247476,106.939819,Jakarta Timur,3.7,521,2023-04-24 13:25:47,1
8a89d5f2-a9fe-421e-9d12-860c3ab0e864,Dewi Putra,087363971244,Mobil,B 8192 NC,-6.138953,106.766821,Jakarta Barat,4.4,2781,2022-09-25 01:22:34,1
e37172e9-4393-4361-8c5c-16aa85ce50c9,Rizky Utami,088230572697,Motor,B 8370 NJ,-6.206221,106.797715,Jakarta Selatan,4.0,3968,2021-03-02 14:25:05,0
9db1085f-03c0-43d6-b4eb-847673cebc53,Arif Putra,088110563235,Motor,B 6734 HJ,-6.170487,106.827629,Jakarta Pusat,4.2,1338,2021-11-16 10:39:19,0
04e5a274-19ca-4886-b2d4-7bcdfa7d3223,Kevin Firmansyah,081792848396,Motor,B 3991 RI,-6.127096,106.83896,Jakarta Utara,4.3,4561,2021-08-20 02:29:21,0
6a839274-efea-48f3-b8a9-32fee39c429a,Citra Pratama,083193134347,Motor,B 4521 UX,-6.144562,106.779908,Jakarta Barat,4.0,3881,2022-12-14 09:05:14,1
8a48533f-62e0-446b-87b1-9309dd5220de,Rina Anggraini,088377515432,Mobil,B 7941 GW,-6.178499,106.805246,Jakarta Barat,4.4,4339,2022-01-12 23:42:35,1
03c9526a-6326-4b22-8490-0fea6fd4dc93,Arif Hidayat,086843347998,Motor,B 6228 XY,-6.153314,106.761325,Jakarta Barat,4.1,2851,2023-11-19 04:39:34,1
cf211bd9-6c07-443a-abdf-5b1b042534c0,Wahyu Pratama,089470931333,Mobil,B 3720 ZE,-6.242256,106.950635,Jakarta Timur,4.2,2741,2022-10-09 17:05:06,1
dd04fd99-6c15-4054-bd3b-d78e9a7ad5ce,Gilang Pratama,083017586107,Motor,B 7734 NG,-6.135252,106.815126,Jakarta Barat,3.9,494,2023-09-07 20:45:44,1
68f950af-3edd-488d-a69b-a4d900499418,Rizky Anggraini,084256086149,Motor,B 7809 GM,-6.136325,106.859836,Jakarta Utara,3.8,4336,2021-11-01 20:33:01,0
e196d2bd-a4ef-4076-946f-e7341992a9d4,Rina Saputra,084545748154,Motor,B 6948 ZW,-6.132202,106.865937,Jakarta Utara,3.7,2520,2022-03-17 02:39:02,1
45d1fe44-7b2b-4c43-a97d-4fbd2413d9c8,Rizky Wati,086955571477,Motor,B 5341 JS,-6.133299,106.746724,Jakarta Barat,4.0,2376,2021-06-13 12:06:45,1
