user_id,full_name,email,phone,date_of_birth,gender,address_area,lat,lon,created_at,is_active
86238a05-3fa7-40c8-96b1-8d78b841e7a7,Hendra Wijaya,hendra.wijaya26@outlook.com,084542868828,1978-03-24,F,Jakarta Pusat,-6.151316,106.864609,2022-03-09 12:39:26,1
4bb3dc82-58ec-464e-a1fa-f2012b876c40,Budi Wijaya,budi.wijaya224@gmail.com,087490801586,1965-09-07,M,Jakarta Timur,-6.208048,106.919413,2022-08-05 01:51:02,1
3fd859ac-6a20-4668-9e64-ed3c2067cae4,Wahyu Hidayat,wahyu.hidayat349@yahoo.com,082938898923,1985-02-03,F,Jakarta Selatan,-6.270328,106.8578,2023-04-14 22:16:08,1
87c92fec-9877-4a8f-9b52-f2667e605337,Maya Nugroho,maya.nugroho550@gmail.com,085820576383,1999-05-27,M,Jakarta Timur,-6.161455,106.90978,2022-05-30 08:31:08,1
578b912e-264c-46be-a2fb-cf2cb91a5424,Lestari Pratama,lestari.pratama792@yahoo.com,082041244663,1970-07-09,F,Jakarta Selatan,-6.216432,106.819187,2022-10-15 12:40:24,1
0b7de331-bda2-4ba4-87c0-e851b5e6f249,Lestari Suharto,lestari.suharto719@outlook.com,089219583482,2002-11-06,F,Jakarta Timur,-6.177087,106.887974,2022-10-22 17:33:43,1
ce4b14a8-be23-4ac8-bfdb-076913874246,Lestari Rahayu,lestari.rahayu864@gmail.com,083914308421,1984-07-09,F,Jakarta Pusat,-6.167616,106.867145,2023-11-12 16:40:35,1
8c3e52f4-a599-436e-bd31-48592d8fb80f,Hendra Nugroho,hendra.nugroho406@outlook.com,086829175900,1980-03-08,F,Jakarta Timur,-6.196102,106.952172,2022-11-29 18:35:07,1
6446be7c-3756-4661-82d5-b95771ab68ba,Ayu Kusuma,ayu.kusuma522@yahoo.com,082116323852,1971-03-21,F,Jakarta Utara,-6.108317,106.862216,2022-02-19 08:14:32,0
cb94ea74-af67-423c-ba8e-7b8ca1872a4e,Fifi Nugroho,fifi.nugroho542@yahoo.com,088011540956,2007-12-04,M,Jakarta Timur,-6.174912,106.954546,2022-09-22 05:19:49,1
