user_id,full_name,email,phone,date_of_birth,gender,city,address_area,lat,lon,created_at,is_active
8f75c6b4-948a-40e0-bdfd-030f005ed7c6,Dewi Kusuma,dewi.kusuma568@outlook.com,086333137964,1975-11-26,M,jakarta,Jakarta Timur,-6.174071,106.978719,2022-11-13 00:32:37,1
3fcb97a5-bd42-4864-a43a-e02abbf291ba,Arif Pratama,arif.pratama54@gmail.com,083792783158,2001-04-09,F,medan,Medan Kota,3.561477,98.663481,2022-10-22 10:39:38,1
badc197f-3950-4b6a-9db0-bda24b0c29ec,Aldi Utami,aldi.utami998@yahoo.com,083910309521,1989-10-12,M,medan,Medan Timur,3.642272,98.741726,2022-05-29 03:26:59,1
a10e81f2-4967-47bb-9f5a-b0ea93769b7f,Eko Utami,eko.utami313@gmail.com,082777893811,1985-04-16,M,medan,Medan Timur,3.641597,98.716156,2022-01-26 15:16:53,0
49bd708c-4e0f-4ba1-9809-874678a7c4aa,Dimas Suharto,dimas.suharto545@yahoo.com,085342938229,1970-02-19,M,medan,Medan Barat,3.576553,98.671401,2022-07-18 18:47:20,1
00365da0-4797-4172-8937-4b018838be6c,Bagas Putra,bagas.putra7@yahoo.com,084169601581,1990-05-05,F,medan,Medan Barat,3.598154,98.675226,2022-09-16 15:58:03,1
cd12f845-6b49-42f1-906a-977d6878245d,Sari Setiawan,sari.setiawan653@yahoo.com,087963269327,1965-11-06,M,medan,Medan Timur,3.640175,98.74756,2022-06-27 14:59:42,1
8b8545b7-e9c5-4d32-9731-efa0fb9babb9,Dinda Santoso,dinda.santoso924@gmail.com,088953758806,1999-07-14,M,jakarta,Jakarta Pusat,-6.166281,106.823758,2023-04-05 17:11:29,1
19ea2417-089a-4dad-8be5-a8da517c04e5,Rina Saputra,rina.saputra907@outlook.com,087337243875,1968-05-26,M,surabaya,Surabaya Barat,-7.271707,112.704372,2023-09-18 16:50:03,1
32b55fd0-fd54-4e07-8320-55901ffb472a,Gilang Wijaya,gilang.wijaya486@outlook.com,088362653861,1983-05-04,F,surabaya,Surabaya Barat,-7.26014,112.662158,2022-01-07 11:30:20,1
73684963-685c-4f22-8060-45a67469de14,Dinda Santoso,dinda.santoso20@yahoo.com,082015546876,1975-09-16,F,jakarta,Jakarta Selatan,-6.22581,106.830525,2022-09-20 21:38:17,1
b84631e7-2f66-41b3-ab23-20cdc43f5fb7,Wahyu Firmansyah,wahyu.firmansyah771@gmail.com,082075645672,1987-05-12,F,jakarta,Jakarta Pusat,-6.16985,106.827961,2022-02-21 21:40:31,0
3991c4b0-a855-44d7-9d21-f53b7b340aff,Tari Anggraini,tari.anggraini70@gmail.com,084464464311,1990-03-28,F,medan,Medan Timur,3.61488,98.706874,2022-09-06 04:37:10,1
49c64731-d763-4eb1-89aa-7fc7ef88dff7,Yoga Nugroho,yoga.nugroho259@yahoo.com,083116818365,1978-12-13,M,jakarta,Jakarta Barat,-6.171444,106.794476,2023-01-09 19:44:11,1
f52ed74c-3c1e-4f08-9b4d-80a86f587f8f,Fajar Pratama,fajar.pratama14@outlook.com,085778140811,1995-03-08,M,medan,Medan Timur,3.618,98.746943,2022-11-06 01:19:37,1
c9a3944a-8326-4e40-b0a5-6c850837646d,Dimas Nugroho,dimas.nugroho609@gmail.com,083928063312,1989-08-03,F,medan,Medan Kota,3.605693,98.71051,2023-07-30 23:03:28,1
1717a941-e9b4-4916-8348-f51e0d6bdfd7,Budi Wijaya,budi.wijaya374@gmail.com,082385899625,1991-08-20,F,surabaya,Surabaya Timur,-7.290028,112.781713,2023-06-04 20:49:55,1
2ac29446-3a77-43db-8736-a9545fd93121,Eko Santoso,eko.santoso123@outlook.com,082983780651,1986-03-08,M,jakarta,Jakarta Utara,-6.134835,106.827361,2023-07-02 14:44:54,1
8721222e-7da7-4164-9aa0-54d6ad011586,Yoga Firmansyah,yoga.firmansyah872@gmail.com,087188583215,1985-09-06,M,surabaya,Surabaya Barat,-7.257911,112.708194,2022-09-24 22:29:30,1
